127.0.0.1 - - [28/Sep/2021:15:41:06 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:41:06 +0900] "GET /jqpro/0928/datatype.html HTTP/1.1" 200 1315
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:41:06 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:41:06 +0900] "GET /jqpro/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:41:10 +0900] "GET /jqpro/0928/text.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:41:10 +0900] "GET /jqpro/0928/text.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:49:36 +0900] "GET /jqpro/0928/datatype.html HTTP/1.1" 200 1670
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:49:36 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:49:36 +0900] "GET /jqpro/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:49:36 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:49:38 +0900] "GET /jqpro/0928/text.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:49:44 +0900] "GET /jqpro/0928/text.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:49:45 +0900] "GET /jqpro/0928/datatype.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:49:59 +0900] "GET /jqpro/0928/datatype.html HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:49:59 +0900] "GET /jqpro/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:49:59 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:49:59 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:50:00 +0900] "GET /jqpro/0928/text.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:50:52 +0900] "GET /jqpro/0928/datatype.html HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:50:52 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:50:52 +0900] "GET /jqpro/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:50:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:50:53 +0900] "GET /jqpro/0928/text.jsp HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:50:53 +0900] "GET /jqpro/0928/text.jsp HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:50:54 +0900] "GET /jqpro/0928/text.jsp HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:51:29 +0900] "GET /jqpro/0928/datatype.html HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:51:29 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:51:29 +0900] "GET /jqpro/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
